date,median_1y_ret,sse_composite_1y_ret,sse_composite,n_eligible
2019-12-24,0.07906393026738545,0.14979926857534265,2982.6806,3664
2019-12-25,0.07888615216201433,0.14592837483858578,2981.8805,3663
2019-12-26,0.0803538834718287,0.14172306051546268,3007.3546,3663
2019-12-27,0.1008628122333155,0.1585720577234262,3005.0355,3665
2019-12-30,0.1080663997330662,0.17015191493278015,3040.0239,3668
2019-12-31,0.11959550551399534,0.18375588142663557,3050.124,3668
2020-01-02,0.1511784511784513,0.21008859791445067,3085.1976,3667
2020-01-03,0.15354499191453863,0.2158756124896133,3083.7858,3668
2020-01-06,0.16508422081877128,0.22539793929905083,3083.4083,3667
2020-01-07,0.16966657283833442,0.22864771531508565,3104.8015,3668
2020-01-08,0.1658015267175572,0.22439685262687648,3066.8925,3668
2020-01-09,0.18392175730414273,0.2387981654200091,3094.8819,3667
2020-01-10,0.19610934171468286,0.245341563628233,3092.2907,3665
2020-01-13,0.2057617698686891,0.2492779771668121,3115.5696,3665
2020-01-14,0.21269756982104715,0.26022461445727907,3106.8204,3667
2020-01-15,0.20636375863563983,0.2538892000804427,3090.0379,3667
2020-01-16,0.17487655110713285,0.22236282601211466,3074.0814,3667
2020-01-17,0.14882299284674105,0.21412862486813045,3075.4955,3670
2020-01-20,0.16048187221180799,0.22534479241367644,3095.7873,3674
2020-01-21,0.14548870756378662,0.19957868133365086,3052.1419,3677
2020-01-22,0.14433756088343452,0.20735131199044132,3060.7545,3683
2020-01-23,0.09717533170978776,0.165514769906689,2976.5281,3685
2020-02-03,0.004825064531588041,0.08314661455458827,2746.6056,3687
2020-02-04,-0.016550341625604204,0.08284592468504903,2783.2875,3689
2020-02-05,0.010858770722707911,0.09635215165633682,2818.0878,3690
2020-02-06,0.04237241852104545,0.1198891483440816,2866.5097,3695
2020-02-07,0.045185095184568036,0.10784183208233444,2875.9636,3700
2020-02-10,0.054175794937042054,0.10725048528842684,2890.4878,3700
2020-02-11,0.057953147720749665,0.12480900425750385,2901.6744,3703
2020-02-12,0.06799570972569224,0.13401567242764156,2926.8991,3704
2020-02-13,0.05233736634983921,0.12130292413049615,2906.0735,3704
2020-02-14,0.0604698910431396,0.1211828667105812,2917.0077,3705
2020-02-17,0.10331987919645591,0.14888300692108625,2983.6224,3706
2020-02-18,0.1385892397343813,0.15060902295750878,2984.9716,3707
2020-02-19,0.15219799313690896,0.15523764862502953,2975.4019,3711
2020-02-20,0.19330061306184432,0.17240058742405506,3030.1542,3711
2020-02-21,0.17443700354162894,0.16096237908301703,3039.6692,3712
2020-02-24,0.16038533363698493,0.14218239900885332,3031.2333,3714
2020-02-25,0.13983158370775461,0.12768337303239274,3013.0501,3715
2020-02-26,0.11176443241930334,0.09807192270771004,2987.9287,3716
2020-02-27,0.11130136986301387,0.0998745854276053,2991.3288,3716
2020-02-28,0.05381811477702203,0.07378463568801652,2880.3038,3717
2020-03-02,0.06738685404903855,0.07862983318862926,2970.9312,3716
2020-03-03,0.07356305063629098,0.08609629415738795,2992.8968,3716
2020-03-04,0.08363452104862623,0.09070153764339373,3011.6657,3714
2020-03-05,0.10587311106201369,0.11624237245045177,3071.6771,3718
2020-03-06,0.08598130841121487,0.0821207290624415,3034.5113,3719
2020-03-09,0.009381485026196401,-0.006075980434699257,2943.2907,3719
2020-03-10,0.025667331479119815,0.018781299971038834,2996.7618,3720
2020-03-11,0.02198672139693647,0.00497429738709565,2968.5174,3720
2020-03-12,0.002259024930082565,-0.005939637678089249,2923.4856,3720
2020-03-13,-0.01543090479260667,-0.03559730194171351,2887.4265,3722
2020-03-16,-0.0664237335929167,-0.07871704603237795,2789.2537,3721
2020-03-17,-0.09212851909040642,-0.08990953775638155,2779.6407,3720
2020-03-18,-0.12472284563576586,-0.12035166768205441,2728.7563,3721
2020-03-19,-0.13581116808434346,-0.13014614035027283,2702.1296,3726
2020-03-20,-0.08229557741786042,-0.07550628456937414,2745.6182,3727
2020-03-23,-0.1436576778932625,-0.1211846742269761,2660.1674,3731
2020-03-24,-0.1390907042253522,-0.11040368396990718,2722.4381,3731
2020-03-25,-0.11147783895400437,-0.08105845640793763,2781.5913,3731
2020-03-26,-0.09915524989988189,-0.07549243735130917,2764.9109,3734
2020-03-27,-0.1119171111333469,-0.08258386726213596,2772.2033,3735
2020-03-30,-0.14944815875720685,-0.11277671332187245,2747.2138,3735
2020-03-31,-0.15347045179707786,-0.1102172615436876,2750.2962,3736
2020-04-01,-0.16379571464555442,-0.11522492604526002,2734.5215,3740
2020-04-02,-0.15453694634889548,-0.10344083663957715,2780.6379,3741
2020-04-03,-0.1647344931836533,-0.10958279801479875,2763.9874,3741
2020-04-07,-0.13256813624600572,-0.07304160821480876,2820.7634,3737
2020-04-08,-0.11146051309840654,-0.06063430613520027,2815.3686,3739
2020-04-09,-0.10993073239796669,-0.06511222542772399,2825.9036,3739
2020-04-10,-0.11242714410431942,-0.06621567539473372,2796.6312,3739
2020-04-13,-0.14370183303720796,-0.09955823134648523,2783.0476,3739
2020-04-14,-0.157464812290814,-0.10821417497881158,2827.283,3740
2020-04-15,-0.16745628810287888,-0.11509883759014938,2811.1741,3738
2020-04-16,-0.1740723816343419,-0.12323501897462652,2819.935,3745
2020-04-17,-0.18040987209081583,-0.12569472521072544,2838.4945,3747
2020-04-20,-0.1734721306411457,-0.1208876525077599,2852.5528,3744
2020-04-21,-0.18242887996098556,-0.12737450943599427,2827.0133,3744
2020-04-22,-0.17379734641217703,-0.12275080346431921,2843.9804,3747
2020-04-23,-0.16220804034353686,-0.11017764820325904,2838.4994,3749
2020-04-24,-0.17339135207562917,-0.11920380367014549,2808.5293,3748
2020-04-27,-0.172962141078141,-0.11400762404876397,2815.4947,3750
